code,prod_cat_search,cat_prod_search,separate_search,group_search,count
01.1.1.1,0.3333333333333333,0.36363636363636365,0.5151515151515151,0.3939393939393939,33
01.1.1.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,3
01.1.1.3,0.5,0.5,0.5,0.25,4
01.1.1.4,0.6,0.6,0.2,0.6,5
01.1.1.5,0.75,1.0,0.625,0.75,8
01.1.1.9,1.0,1.0,0.8333333333333334,1.0,6
01.1.2.2,0.00684931506849315,0.00684931506849315,0.0,0.005136986301369863,584
01.1.2.3,0.6131386861313869,0.5875912408759124,0.6496350364963503,0.6240875912408759,274
01.1.2.4,0.2857142857142857,0.2857142857142857,0.4675324675324675,0.19480519480519481,77
01.1.2.5,0.1680327868852459,0.1885245901639344,0.24180327868852458,0.1762295081967213,244
01.1.4.1,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.7777777777777778,9
01.1.4.2,0.0,0.0,0.1,0.0,10
01.1.4.3,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.23076923076923078,13
01.1.4.4,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.043478260869565216,23
01.1.4.5,0.7,0.7,0.5,0.6,10
01.1.4.6,0.25,0.3333333333333333,0.25,0.25,12
01.1.4.7,0.1935483870967742,0.22580645161290322,0.22580645161290322,0.12903225806451613,31
01.1.4.8,0.0,0.0,0.2,0.0,5
01.1.5.1,0.0,0.0,0.029411764705882353,0.0,34
01.1.5.2,0.15151515151515152,0.18181818181818182,0.21212121212121213,0.09090909090909091,33
01.1.5.3,0.2,0.2,0.2,0.3,10
01.1.5.9,0.5,0.5,1.0,0.5,2
01.1.6.1,0.0,0.0,0.0,0.0,106
01.1.6.2,0.005263157894736842,0.015789473684210527,0.0,0.021052631578947368,190
01.1.6.3,0.5279642058165548,0.5257270693512305,0.814317673378076,0.5279642058165548,447
01.1.6.4,0.7777777777777778,0.9555555555555556,0.9555555555555556,0.7555555555555555,45
01.1.6.5,0.0,0.0,0.0,0.0,110
01.1.6.7,0.6981132075471698,0.7924528301886793,0.6226415094339622,0.7169811320754716,53
01.1.6.8,0.9420289855072463,0.9710144927536232,0.6086956521739131,0.9565217391304348,69
01.1.6.9,0.3153846153846154,0.36923076923076925,0.6307692307692307,0.3769230769230769,130
01.1.7.1,0.2025862068965517,0.14655172413793102,0.5172413793103449,0.2025862068965517,232
01.1.7.2,0.08633093525179857,0.08633093525179857,0.49640287769784175,0.05755395683453238,139
01.1.7.3,0.625,0.625,0.8125,0.3125,16
01.1.7.4,0.3118279569892473,0.34408602150537637,0.0,0.22580645161290322,93
01.1.7.5,0.7352941176470589,0.8529411764705882,0.5294117647058824,0.47058823529411764,34
01.1.7.6,0.45714285714285713,0.5428571428571428,0.45714285714285713,0.5,70
01.1.7.7,0.5510204081632653,0.6938775510204082,0.42857142857142855,0.4897959183673469,49
01.1.7.9,0.2,0.15,0.2875,0.0875,80
01.1.8.1,0.0,0.0,0.0,0.0,1
01.1.8.2,0.5,0.5,0.5,0.5,2
01.1.8.3,0.9444444444444444,1.0,0.8333333333333334,0.9444444444444444,18
01.1.8.4,0.0,0.0,0.0,0.0,1
01.1.8.5,0.13333333333333333,0.2,0.3333333333333333,0.13333333333333333,15
01.1.8.9,1.0,1.0,1.0,1.0,1
01.1.9.1,0.1825726141078838,0.17842323651452283,0.13692946058091288,0.16597510373443983,241
01.1.9.2,0.0,0.0,0.0,0.0,2
01.1.9.3,0.6756756756756757,0.7297297297297297,0.5135135135135135,0.5675675675675675,37
01.1.9.4,0.8260869565217391,0.9130434782608695,0.5652173913043478,0.7391304347826086,23
01.1.9.9,0.375,0.375,0.625,0.25,8
01.2.1.0,0.031746031746031744,0.026455026455026454,0.06349206349206349,0.037037037037037035,189
01.2.2.0,0.010101010101010102,0.010101010101010102,0.0,0.010101010101010102,99
01.2.3.0,0.16535433070866143,0.1889763779527559,0.2992125984251969,0.16535433070866143,127
01.2.4.0,0.2,0.2,0.26666666666666666,0.2,15
01.2.5.0,0.0,0.0,0.0,0.023809523809523808,42
01.2.6.0,0.2857142857142857,0.3047619047619048,0.5333333333333333,0.19047619047619047,105
01.2.9.0,0.13333333333333333,0.13333333333333333,0.36666666666666664,0.16666666666666666,60
02.1.1.0,0.2785714285714286,0.2857142857142857,0.05714285714285714,0.3,140
02.1.2.1,0.007142857142857143,0.016666666666666666,0.007142857142857143,0.009523809523809525,420
02.1.2.2,0.2222222222222222,0.2222222222222222,0.37037037037037035,0.2962962962962963,27
02.1.3.0,0.027522935779816515,0.03669724770642202,0.027522935779816515,0.027522935779816515,109
02.1.9.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5555555555555556,18
